,Date,Open,High,Low,Close,Adj Close,Volume
5293,2018-09-04,76192.0,76192.0,74605.0,74712.0,74712.0,3162300.0
1904,2005-01-24,23819.0,24302.0,23813.0,24198.0,24198.0,0.0
3533,2011-08-05,52811.0,53866.0,51153.0,52949.0,52949.0,4320600.0
278,1998-10-30,6611.0,7108.0,6611.0,7047.0,7047.0,0.0
4544,2015-09-08,46501.0,47243.0,46497.0,46762.0,46762.0,2851000.0
4474,2015-05-28,54230.0,54230.0,53363.0,53976.0,53976.0,2914500.0
450,1999-06-29,11264.0,11442.0,11254.0,11379.0,11379.0,0.0
3480,2011-05-23,62597.0,62597.0,61659.0,62345.0,62345.0,1767600.0
2929,2009-03-02,38180.0,38180.0,36196.0,36235.0,36235.0,1728000.0
2144,2006-01-10,35338.0,35338.0,34687.0,35049.0,35049.0,0.0
5450,2019-04-30,96191.0,96707.0,95613.0,96353.0,96353.0,4228600.0
3610,2011-11-28,54899.0,56444.0,54899.0,56017.0,56017.0,2271000.0
5192,2018-04-11,84494.0,85417.0,84340.0,85246.0,85246.0,3370600.0
4628,2016-01-13,39518.0,40050.0,38822.0,38944.0,38944.0,3569600.0
1710,2004-04-27,21324.0,21715.0,21254.0,21317.0,21317.0,0.0
4431,2015-03-25,51507.0,52319.0,51507.0,51858.0,51858.0,4774600.0
5188,2018-04-05,84374.0,86148.0,84374.0,85210.0,85210.0,4257700.0
771,2000-09-20,16196.0,16216.0,15813.0,16078.0,16078.0,0.0
3397,2011-01-19,70921.0,71190.0,69966.0,70058.0,70058.0,1884800.0
3891,2013-01-18,62197.0,62395.0,61822.0,61956.0,61956.0,3495200.0
682,2000-05-18,14876.0,14973.0,14620.0,14627.0,14627.0,0.0
1595,2003-11-18,18669.0,19022.0,18669.0,18813.0,18813.0,0.0
5579,2019-10-31,108403.0,108403.0,106356.0,107220.0,107220.0,5376000.0
2110,2005-11-22,31110.0,31500.0,30473.0,31489.0,31489.0,0.0
134,1998-04-13,11975.0,12121.0,11975.0,12121.0,12121.0,0.0
405,1999-04-27,10808.0,10969.0,10676.0,10885.0,10885.0,0.0
3835,2012-10-23,58679.0,58679.0,57388.0,57690.0,57690.0,3395600.0
631,2000-03-08,18617.0,18617.0,18184.0,18283.0,18283.0,0.0
2416,2007-01-31,44046.0,44643.0,43824.0,44642.0,44642.0,131510700.0
3683,2012-03-15,68259.0,68259.0,67458.0,67749.0,67749.0,2295200.0
5918,2021-03-22,116222.0,116225.0,113620.0,114979.0,114979.0,8160600.0
5270,2018-08-02,79237.0,79896.0,78573.0,79637.0,79637.0,3005500.0
2100,2005-11-07,30888.0,31363.0,30728.0,30952.0,30952.0,0.0
1870,2004-12-07,25632.0,25667.0,24945.0,24989.0,24989.0,0.0
4020,2013-07-29,49414.0,49461.0,48975.0,49212.0,49212.0,3285200.0
3326,2010-10-05,70390.0,71285.0,70390.0,71283.0,71283.0,2713000.0
4009,2013-07-12,46624.0,46624.0,45529.0,45533.0,45533.0,5357200.0
5434,2019-04-05,96319.0,97493.0,96152.0,97108.0,97108.0,3689000.0
2485,2007-05-14,50910.0,51066.0,50298.0,50511.0,50511.0,82391800.0
5996,2021-07-14,128169.0,129620.0,128085.0,128407.0,128407.0,0.0
1229,2002-06-24,10438.0,10814.0,10247.0,10759.0,10759.0,0.0
5300,2018-09-14,74687.0,75705.0,74445.0,75429.0,75429.0,3231700.0
